nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
75,2,Greedy ES - ls,4,71,21,0.0,0.81691,[],"[0, 0, 0, 0, 0]","[0.8209333100000009, 0.8132444130000067, 0.8159131730000126, 0.8227103259999922, 0.8117401289999862]"
75,2,Greedy MIS - ls,4,71,21,0.0,46.47496,[],"[0, 0, 0, 0, 0]","[46.498531679999985, 46.64774192500002, 46.286956941, 46.30360196100003, 46.637988740000026]"
75,2,Exact - path,4,71,21,0.0,0.02233,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.01858246900002314, 0.02130749799999876, 0.027561758999979702, 0.02467338200000313, 0.01954822699997294]"
75,2,Exact,4,71,21,0.0,25.22819,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[0.0, 0.0, 0.0, 0.0, 0.0]","[7.757948542000008, 19.06443938199999, 34.38173570999999, 46.705298681000045, 18.231509351]"
75,2,Greedy ES - ls,4,71,14,2.6,0.70261,[],"[3, 3, 3, 1, 3]","[0.701658693000013, 0.7077299570000832, 0.6995409809999273, 0.7004324769999357, 0.7036811680000028]"
75,2,Greedy MIS - ls,4,71,14,0.2,38.32043,[],"[0, 0, 0, 1, 0]","[38.320702134999976, 38.73314072400001, 38.4723355750001, 37.97006599499991, 38.10589553199998]"
75,2,Exact - path,4,71,14,0.0,0.02202,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.01587182099990514, 0.018994710000015402, 0.025249000999906457, 0.02749267800004418, 0.022489902999950573]"
75,2,Exact,4,71,14,0.0,103.79792,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[0.0, 0.0, 0.0, 0.0, 0.0]","[92.82940969200001, 91.70316717800006, 103.74148910299994, 124.34368316299992, 106.37186816000008]"
75,2,Greedy ES - ls,4,71,7,4.2,0.54094,[],"[6, 3, 3, 3, 6]","[0.5456621069999983, 0.5379300879999391, 0.5423167249998642, 0.5397470489999705, 0.5390427350000664]"
75,2,Greedy MIS - ls,4,71,7,1.0,25.99573,[],"[1, 1, 1, 1, 1]","[26.250557695999987, 25.998061538, 25.968723572000044, 26.03040015600004, 25.730886735000013]"
75,2,Exact - path,4,71,7,1.0,0.01274,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.012231903999918359, 0.013099790000069333, 0.0077901979998387105, 0.008632929999976113, 0.02194066299989572]"
75,2,Exact,4,71,7,2.0,263.59605,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'time limit exceeded']","[1.0, 1.0, 1.0000000000000009, 1.0, 6.0]","[24.323671586000046, 254.79836461600007, 12.651838164999845, 25.232488385999886, 1000.9738987980002]"
75,2,Greedy ES - ls,8,67,20,4.2,0.74235,[],"[6, 4, 2, 2, 7]","[0.7358767470000203, 0.7458634140002687, 0.748630740000408, 0.7331483680000019, 0.7482464890008487]"
75,2,Greedy MIS - ls,8,67,20,0.6,41.94603,[],"[0, 1, 0, 1, 1]","[42.01515059800022, 42.32803579199981, 42.22667930300031, 41.421874116000254, 41.73840142100016]"
